9012_0,"阅读短文根据短文内容从方框中的五个选项中选出能填入空白处的最佳选项每个选项只能用一次（共6题）###He showedcourage at difficult times, which helped him to succeed###extraordinary"
9095_4,"阅读下面短文根据短文意思选择最佳答案Andy: What is CPR?Michelle: CPR stands for cardiopulmonary resuscitation. Cardiopulmonary resuscitation is a way to make the heart and lungs start again when they have stopped working.Andy: When do you use CPR？Michelle: You use CPR if someone has stopped breathing.Andy: So what do you do exactly？Michelle: First you need to make sure the patient is lying on his or her back. Then lift the patient´s head back to open their mouth. Then check that there is nothing in the patient´s mouth or throat.Andy: OK. What do you do next?Michelle: Then you check to see if the patient´s heart is beating. You should check for ten seconds. If the heart isn´t beating, start pushing down on the chest. You should push fifteen times before blowing into the patient´s mouth again twice. You keep doing this until the patient starts breathing again.Andy: And what do you do if the patient doesn´t start breathing?Michelle: You should continue with CPR until help arrives###Which of the following picture is about CPR###A、       B、     C、      D、 "
9095_5,"阅读下面短文根据短文意思选择最佳答案Andy: What is CPR?Michelle: CPR stands for cardiopulmonary resuscitation. Cardiopulmonary resuscitation is a way to make the heart and lungs start again when they have stopped working.Andy: When do you use CPR？Michelle: You use CPR if someone has stopped breathing.Andy: So what do you do exactly？Michelle: First you need to make sure the patient is lying on his or her back. Then lift the patient´s head back to open their mouth. Then check that there is nothing in the patient´s mouth or throat.Andy: OK. What do you do next?Michelle: Then you check to see if the patient´s heart is beating. You should check for ten seconds. If the heart isn´t beating, start pushing down on the chest. You should push fifteen times before blowing into the patient´s mouth again twice. You keep doing this until the patient starts breathing again.Andy: And what do you do if the patient doesn´t start breathing?Michelle: You should continue with CPR until help arrives###请你根据短文内容写出实施CPR的主要步骤How to Perform CPR①②③④⑤###Lift the patient´s head back.Check that there is nothing in the patient´s mouth or throat.Blow into the patient´s mouth.Check to see if the patient´s heart is beating.Start pushing down on the patient´s chest."
9096_0,"阅读题From volcanoes, tsunamis, hurricanes, drought, tornadoes to earthquakes, natural disasters are everywhere.When one thinks about these natural disasters, they are destructive, unpredictable acts of nature that come without warning.Many of these events are caused by natural processes within the atmosphere or within the earth; however, humans can actually influence or cause some natural disasters themselves.One example is the earthquake.To get natural gas or otherfossil fuelsfrom within the earth, workers drill into the surface or the earth. They put into the earth chemicals to help release the natural gas. However,thiscan cause earthquakes because the chemicals stay underground may lead to an earthquake.An example of this can be seen in the state of Oklahoma in the United States.As drilling became more frequent in 2011, so did the number of earthquakes. In fact, in 2008 there were only about 12 earthquakes reported. In 2011, this number increased tomore than 1,000 earthquakes just in one year.Dams and reservoirs（水库）, which can be found all over the world can also lead to earthquakes.Their main purpose is to store water for future use and generate electricity. Some dams can hold large quantities of water. This water is extremely heavy, powerful and contains a massive amount of potential energy concentrated all in one area. Given the right conditions, the power of water can induce an earthquake. The 2008 earthquake in Sichuan, China left over 70,000 dead and is believed to have been caused by the construction of the nearby Zipingpu Dam. In many places around the world, water can be found underground. Groundwater extraction（抽取）, such as a well, is common and safe, however, it can be dangerous and cause earthquakes if extraction is done at a quicker rate than the underground reservoir can be recharged.For example, in 2011, there was a 5.1 magnitude earthquake in Lorca, Spain was caused by excessive groundwater extraction.It is certainly hard to believe that certain buildings can possibly lead to earthquakes.However, this is true. In Taiwan, the Taipei 101 tower was built in 2002 to be able to survive earthquakes and typhoons.The building is sitting on soft rock and the materials used for this building are very heavy.Ridiculously, geologists believe this building has been causing earthquakes in the area. In fact, there was one earthquake at the site during construction, two large earthquakes directly below the building, and two smaller earthquakes in the area.Overall, there are different ways that humans can cause earthquakes and it is important to keep in mind the effect humans can have on the environment###What is the passage mainly about###A、Main reasons for earthquakes.B、Damage caused by earthquakes.C、Humans´ influence on earthquakes. "
9096_1,"阅读题From volcanoes, tsunamis, hurricanes, drought, tornadoes to earthquakes, natural disasters are everywhere.When one thinks about these natural disasters, they are destructive, unpredictable acts of nature that come without warning.Many of these events are caused by natural processes within the atmosphere or within the earth; however, humans can actually influence or cause some natural disasters themselves.One example is the earthquake.To get natural gas or otherfossil fuelsfrom within the earth, workers drill into the surface or the earth. They put into the earth chemicals to help release the natural gas. However,thiscan cause earthquakes because the chemicals stay underground may lead to an earthquake.An example of this can be seen in the state of Oklahoma in the United States.As drilling became more frequent in 2011, so did the number of earthquakes. In fact, in 2008 there were only about 12 earthquakes reported. In 2011, this number increased tomore than 1,000 earthquakes just in one year.Dams and reservoirs（水库）, which can be found all over the world can also lead to earthquakes.Their main purpose is to store water for future use and generate electricity. Some dams can hold large quantities of water. This water is extremely heavy, powerful and contains a massive amount of potential energy concentrated all in one area. Given the right conditions, the power of water can induce an earthquake. The 2008 earthquake in Sichuan, China left over 70,000 dead and is believed to have been caused by the construction of the nearby Zipingpu Dam. In many places around the world, water can be found underground. Groundwater extraction（抽取）, such as a well, is common and safe, however, it can be dangerous and cause earthquakes if extraction is done at a quicker rate than the underground reservoir can be recharged.For example, in 2011, there was a 5.1 magnitude earthquake in Lorca, Spain was caused by excessive groundwater extraction.It is certainly hard to believe that certain buildings can possibly lead to earthquakes.However, this is true. In Taiwan, the Taipei 101 tower was built in 2002 to be able to survive earthquakes and typhoons.The building is sitting on soft rock and the materials used for this building are very heavy.Ridiculously, geologists believe this building has been causing earthquakes in the area. In fact, there was one earthquake at the site during construction, two large earthquakes directly below the building, and two smaller earthquakes in the area.Overall, there are different ways that humans can cause earthquakes and it is important to keep in mind the effect humans can have on the environment###What does “this” in Paragraph 3 refer to###A、Natural gas.B、Earthquake.C、People´s behavior. "
9096_2,"阅读题From volcanoes, tsunamis, hurricanes, drought, tornadoes to earthquakes, natural disasters are everywhere.When one thinks about these natural disasters, they are destructive, unpredictable acts of nature that come without warning.Many of these events are caused by natural processes within the atmosphere or within the earth; however, humans can actually influence or cause some natural disasters themselves.One example is the earthquake.To get natural gas or otherfossil fuelsfrom within the earth, workers drill into the surface or the earth. They put into the earth chemicals to help release the natural gas. However,thiscan cause earthquakes because the chemicals stay underground may lead to an earthquake.An example of this can be seen in the state of Oklahoma in the United States.As drilling became more frequent in 2011, so did the number of earthquakes. In fact, in 2008 there were only about 12 earthquakes reported. In 2011, this number increased tomore than 1,000 earthquakes just in one year.Dams and reservoirs（水库）, which can be found all over the world can also lead to earthquakes.Their main purpose is to store water for future use and generate electricity. Some dams can hold large quantities of water. This water is extremely heavy, powerful and contains a massive amount of potential energy concentrated all in one area. Given the right conditions, the power of water can induce an earthquake. The 2008 earthquake in Sichuan, China left over 70,000 dead and is believed to have been caused by the construction of the nearby Zipingpu Dam. In many places around the world, water can be found underground. Groundwater extraction（抽取）, such as a well, is common and safe, however, it can be dangerous and cause earthquakes if extraction is done at a quicker rate than the underground reservoir can be recharged.For example, in 2011, there was a 5.1 magnitude earthquake in Lorca, Spain was caused by excessive groundwater extraction.It is certainly hard to believe that certain buildings can possibly lead to earthquakes.However, this is true. In Taiwan, the Taipei 101 tower was built in 2002 to be able to survive earthquakes and typhoons.The building is sitting on soft rock and the materials used for this building are very heavy.Ridiculously, geologists believe this building has been causing earthquakes in the area. In fact, there was one earthquake at the site during construction, two large earthquakes directly below the building, and two smaller earthquakes in the area.Overall, there are different ways that humans can cause earthquakes and it is important to keep in mind the effect humans can have on the environment###In the following statements, which are opinions? Which are facts? Write O before an opinion, F before a fact. Humans can actually influence or cause some natural disasters themselves. To get natural gas or otherfossil fuelsfrom within the earth, workers drill into the surface or the earth. As drilling became more frequent in 2011, so did the number of earthquakes. In 2011, there was a 5.1 magnitude earthquake in Lorca, Spain was caused by excessive groundwater extraction. There are different ways that humans can cause earthquakes###OFFFO"
9096_3,"阅读题From volcanoes, tsunamis, hurricanes, drought, tornadoes to earthquakes, natural disasters are everywhere.When one thinks about these natural disasters, they are destructive, unpredictable acts of nature that come without warning.Many of these events are caused by natural processes within the atmosphere or within the earth; however, humans can actually influence or cause some natural disasters themselves.One example is the earthquake.To get natural gas or otherfossil fuelsfrom within the earth, workers drill into the surface or the earth. They put into the earth chemicals to help release the natural gas. However,thiscan cause earthquakes because the chemicals stay underground may lead to an earthquake.An example of this can be seen in the state of Oklahoma in the United States.As drilling became more frequent in 2011, so did the number of earthquakes. In fact, in 2008 there were only about 12 earthquakes reported. In 2011, this number increased tomore than 1,000 earthquakes just in one year.Dams and reservoirs（水库）, which can be found all over the world can also lead to earthquakes.Their main purpose is to store water for future use and generate electricity. Some dams can hold large quantities of water. This water is extremely heavy, powerful and contains a massive amount of potential energy concentrated all in one area. Given the right conditions, the power of water can induce an earthquake. The 2008 earthquake in Sichuan, China left over 70,000 dead and is believed to have been caused by the construction of the nearby Zipingpu Dam. In many places around the world, water can be found underground. Groundwater extraction（抽取）, such as a well, is common and safe, however, it can be dangerous and cause earthquakes if extraction is done at a quicker rate than the underground reservoir can be recharged.For example, in 2011, there was a 5.1 magnitude earthquake in Lorca, Spain was caused by excessive groundwater extraction.It is certainly hard to believe that certain buildings can possibly lead to earthquakes.However, this is true. In Taiwan, the Taipei 101 tower was built in 2002 to be able to survive earthquakes and typhoons.The building is sitting on soft rock and the materials used for this building are very heavy.Ridiculously, geologists believe this building has been causing earthquakes in the area. In fact, there was one earthquake at the site during construction, two large earthquakes directly below the building, and two smaller earthquakes in the area.Overall, there are different ways that humans can cause earthquakes and it is important to keep in mind the effect humans can have on the environment###What´s the author´s attitude toward the humans´ behavior mentioned in the passage? What evidence can you find in the passage to prove it###The author holds a negative attitude toward the humans´ behavior mentioned in the passage. As what the author said in the passage, the behavior, such as drilling into the earth surface, building dams and tall buildings like the Taipei 101 tower may all lead to earthquakes. Therefore, the author was against behavior like these."
9096_4,"阅读题From volcanoes, tsunamis, hurricanes, drought, tornadoes to earthquakes, natural disasters are everywhere.When one thinks about these natural disasters, they are destructive, unpredictable acts of nature that come without warning.Many of these events are caused by natural processes within the atmosphere or within the earth; however, humans can actually influence or cause some natural disasters themselves.One example is the earthquake.To get natural gas or otherfossil fuelsfrom within the earth, workers drill into the surface or the earth. They put into the earth chemicals to help release the natural gas. However,thiscan cause earthquakes because the chemicals stay underground may lead to an earthquake.An example of this can be seen in the state of Oklahoma in the United States.As drilling became more frequent in 2011, so did the number of earthquakes. In fact, in 2008 there were only about 12 earthquakes reported. In 2011, this number increased tomore than 1,000 earthquakes just in one year.Dams and reservoirs（水库）, which can be found all over the world can also lead to earthquakes.Their main purpose is to store water for future use and generate electricity. Some dams can hold large quantities of water. This water is extremely heavy, powerful and contains a massive amount of potential energy concentrated all in one area. Given the right conditions, the power of water can induce an earthquake. The 2008 earthquake in Sichuan, China left over 70,000 dead and is believed to have been caused by the construction of the nearby Zipingpu Dam. In many places around the world, water can be found underground. Groundwater extraction（抽取）, such as a well, is common and safe, however, it can be dangerous and cause earthquakes if extraction is done at a quicker rate than the underground reservoir can be recharged.For example, in 2011, there was a 5.1 magnitude earthquake in Lorca, Spain was caused by excessive groundwater extraction.It is certainly hard to believe that certain buildings can possibly lead to earthquakes.However, this is true. In Taiwan, the Taipei 101 tower was built in 2002 to be able to survive earthquakes and typhoons.The building is sitting on soft rock and the materials used for this building are very heavy.Ridiculously, geologists believe this building has been causing earthquakes in the area. In fact, there was one earthquake at the site during construction, two large earthquakes directly below the building, and two smaller earthquakes in the area.Overall, there are different ways that humans can cause earthquakes and it is important to keep in mind the effect humans can have on the environment###Do you agree with the author´s opinion? Why or why not###I don´t agree with the author´s opinion. I think the cause of the earthquake is due to the movements of plates. What humans have done only affect the surface of the earth. They are not big enough to cause an earthquake."
9096_5,"阅读题From volcanoes, tsunamis, hurricanes, drought, tornadoes to earthquakes, natural disasters are everywhere.When one thinks about these natural disasters, they are destructive, unpredictable acts of nature that come without warning.Many of these events are caused by natural processes within the atmosphere or within the earth; however, humans can actually influence or cause some natural disasters themselves.One example is the earthquake.To get natural gas or otherfossil fuelsfrom within the earth, workers drill into the surface or the earth. They put into the earth chemicals to help release the natural gas. However,thiscan cause earthquakes because the chemicals stay underground may lead to an earthquake.An example of this can be seen in the state of Oklahoma in the United States.As drilling became more frequent in 2011, so did the number of earthquakes. In fact, in 2008 there were only about 12 earthquakes reported. In 2011, this number increased tomore than 1,000 earthquakes just in one year.Dams and reservoirs（水库）, which can be found all over the world can also lead to earthquakes.Their main purpose is to store water for future use and generate electricity. Some dams can hold large quantities of water. This water is extremely heavy, powerful and contains a massive amount of potential energy concentrated all in one area. Given the right conditions, the power of water can induce an earthquake. The 2008 earthquake in Sichuan, China left over 70,000 dead and is believed to have been caused by the construction of the nearby Zipingpu Dam. In many places around the world, water can be found underground. Groundwater extraction（抽取）, such as a well, is common and safe, however, it can be dangerous and cause earthquakes if extraction is done at a quicker rate than the underground reservoir can be recharged.For example, in 2011, there was a 5.1 magnitude earthquake in Lorca, Spain was caused by excessive groundwater extraction.It is certainly hard to believe that certain buildings can possibly lead to earthquakes.However, this is true. In Taiwan, the Taipei 101 tower was built in 2002 to be able to survive earthquakes and typhoons.The building is sitting on soft rock and the materials used for this building are very heavy.Ridiculously, geologists believe this building has been causing earthquakes in the area. In fact, there was one earthquake at the site during construction, two large earthquakes directly below the building, and two smaller earthquakes in the area.Overall, there are different ways that humans can cause earthquakes and it is important to keep in mind the effect humans can have on the environment###What might happen if a big earthquake happened in the city you live in? Could we survive from this natural disaster? Imagine the possible situation. Write it down as well as your opinion on humans´ relationship with nature. Use proper words and grammars, such as inversion（倒装）, emphaticsentence（强调句）, or passive voice（被动语态） to help you express your opinion###Possible answers:I´m living in a large city with millions of tall buildings, which were built with theseismicdesign. If a large earthquake hit the city I live, I think most of the building will stay up. The large quake would cause damage. However, with the science of earthquake prediction, most of people would get prepared. In another word, I don´t think humans are helpless in front of nature. Humans have a close relationship with nature. We can´t go without nature. It is nature that produced and feed us humans. Living in this world, besides the basic needs like foods and clothes, humans have various requirements to make life comfortable and colorful. Only from nature can we get what we need. However, nature is not always kind to humans. Every year, thousands of people are killed in natural disasters.Volcanoes, tsunamis, hurricanes, drought, tornadoes and earthquakes happen all the time. Faced with natural disasters, humans appear so small and helpless. Fortunately, thanks to the development of science and technology, we can predict most of natural disasters and take actions to protect ourselves. Meanwhile, it is important to keep in mind the effect humans can have on the environment. The destruction of nature will definitely lead to nature´s revenge, causing more natural disasters. Protecting nature is protecting ourselves. Humans need to keep a balanced relationship with nature."
9098_0,Listen and answer True or False according to the time table###{video:5f816e80915c453b8f8cd6a60ec2f597}###A、选择TB、选择F 
9098_1,Listen and answer True or False according to the time table###{video:4e9a957013484e8f989d304b64bb593d}###A、选择TB、选择F 
9098_2,Listen and answer True or False according to the time table###{video:471332bf458b404aae1aef9724ab5ef9}###A、选择TB、选择F 
9098_3,Listen and answer True or False according to the time table###{video:0d9acf7f23054085809c29ea10e2efed}###A、选择TB、选择F 
9099_0,"阅读下面短文根据短文意思选择最佳答案I had mixed feelings today, nervous, worried, happy, excited… My heart went down when Miss Chen,our head teacher, said that Matthew and Beth, two students from England, would spend three months with us! I was worried that I had to speak English so much! But at the end of the school day, I was happier than I thought: the morning with them today was more enjoyable than I expected.Today is the most unforgettable first day I have had! Matthew is fantastic! His English is clearer and easier to listen to than I thought. The other English student, Beth, is the most helpful girl I´ve ever met. There were lots of things to do on the first day. Beth offered to help Miss Chen put up all the notices. Of course, some of the credit (功劳) should also go to ME because I translated some of the notices for her. Miss Chen praised us!We finished all the preparations 10 minutes earlier than expected, then Beth and I talked for a while, Matthew sang several English songs and did some standup comedy at the party. We all praised him. When the bell rang to end the first school day, none of us wanted to leave.When I went back home, I had a little headache. I have probably spoken more English today than the whole of last year.It was really a happy day! I hope our friendship can continue, even after they go back to England!###The writer felt when he heard the news from Miss Chen###A、excitedB、angryC、sadD、embarrassed "
9099_1,"阅读下面短文根据短文意思选择最佳答案I had mixed feelings today, nervous, worried, happy, excited… My heart went down when Miss Chen,our head teacher, said that Matthew and Beth, two students from England, would spend three months with us! I was worried that I had to speak English so much! But at the end of the school day, I was happier than I thought: the morning with them today was more enjoyable than I expected.Today is the most unforgettable first day I have had! Matthew is fantastic! His English is clearer and easier to listen to than I thought. The other English student, Beth, is the most helpful girl I´ve ever met. There were lots of things to do on the first day. Beth offered to help Miss Chen put up all the notices. Of course, some of the credit (功劳) should also go to ME because I translated some of the notices for her. Miss Chen praised us!We finished all the preparations 10 minutes earlier than expected, then Beth and I talked for a while, Matthew sang several English songs and did some standup comedy at the party. We all praised him. When the bell rang to end the first school day, none of us wanted to leave.When I went back home, I had a little headache. I have probably spoken more English today than the whole of last year.It was really a happy day! I hope our friendship can continue, even after they go back to England!###How did Beth help Miss Chen on the first day###Beth helped Miss Chen put up all the notices."
9099_2,"阅读下面短文根据短文意思选择最佳答案I had mixed feelings today, nervous, worried, happy, excited… My heart went down when Miss Chen,our head teacher, said that Matthew and Beth, two students from England, would spend three months with us! I was worried that I had to speak English so much! But at the end of the school day, I was happier than I thought: the morning with them today was more enjoyable than I expected.Today is the most unforgettable first day I have had! Matthew is fantastic! His English is clearer and easier to listen to than I thought. The other English student, Beth, is the most helpful girl I´ve ever met. There were lots of things to do on the first day. Beth offered to help Miss Chen put up all the notices. Of course, some of the credit (功劳) should also go to ME because I translated some of the notices for her. Miss Chen praised us!We finished all the preparations 10 minutes earlier than expected, then Beth and I talked for a while, Matthew sang several English songs and did some standup comedy at the party. We all praised him. When the bell rang to end the first school day, none of us wanted to leave.When I went back home, I had a little headache. I have probably spoken more English today than the whole of last year.It was really a happy day! I hope our friendship can continue, even after they go back to England!###What will the writer probably do to keep friendship after Matthew and Beth go back###He will write to them."
9100_0,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###There is a river behind our house andIlikethere###swimming
9100_1,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###There are some small shops near my home. My mother andIoften gothere###shopping
9100_2,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###Lucythe room every day###tidies up
9100_3,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###My mom often asks meEnglish###to study
9100_4,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###Peter and Jack are brothers. The room is###theirs
9100_5,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###CanIask you aquestion###personal
9100_6,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###There are twoof scissors on the table###pairs
9100_7,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###Can you help methe crayons in the schoolbag###put
9101_0,"阅读短文回答问题Message One:Dear classmates,As I'm sure you know by now, our new teacher, Mr. Dupond, is coming to teach us French this month. We're very excited because he is a strict but good teacher. To show our love, let’s have a welcome party for him next Friday, the 15th.Can you come to the party? If so, can you help with any of these things? Please tell me by this Friday.①Buy food and drinks.②Think of games to play③Prepare things we need for the games: balloons, flowers, CDs and so onI look forward to hearing from you all.Message Two:Hi Jeff.What a great idea! I really like Mr. Dupond a lot. I hear that he is good at teaching and making friendsWith his students. I can help to buy some food and drinks. I can also help to bring Mr. Dupond to the party. I already have a great idea about what to say to him.Chen Jing###Jeff made an invitation to ###A、Chen Jing   B、Mr. Dupond   C、his classmates   D、his teachers "
9101_1,"阅读短文回答问题Message One:Dear classmates,As I'm sure you know by now, our new teacher, Mr. Dupond, is coming to teach us French this month. We're very excited because he is a strict but good teacher. To show our love, let’s have a welcome party for him next Friday, the 15th.Can you come to the party? If so, can you help with any of these things? Please tell me by this Friday.①Buy food and drinks.②Think of games to play③Prepare things we need for the games: balloons, flowers, CDs and so onI look forward to hearing from you all.Message Two:Hi Jeff.What a great idea! I really like Mr. Dupond a lot. I hear that he is good at teaching and making friendsWith his students. I can help to buy some food and drinks. I can also help to bring Mr. Dupond to the party. I already have a great idea about what to say to him.Chen Jing###What subject does Mr. Dupond teach###A、English.     B、Math.      C、French      D、Chinese. "
9101_2,"阅读短文回答问题Message One:Dear classmates,As I'm sure you know by now, our new teacher, Mr. Dupond, is coming to teach us French this month. We're very excited because he is a strict but good teacher. To show our love, let’s have a welcome party for him next Friday, the 15th.Can you come to the party? If so, can you help with any of these things? Please tell me by this Friday.①Buy food and drinks.②Think of games to play③Prepare things we need for the games: balloons, flowers, CDs and so onI look forward to hearing from you all.Message Two:Hi Jeff.What a great idea! I really like Mr. Dupond a lot. I hear that he is good at teaching and making friendsWith his students. I can help to buy some food and drinks. I can also help to bring Mr. Dupond to the party. I already have a great idea about what to say to him.Chen Jing###If you want to go to the party, you should ###A、let Jeff know before the 8th     B、bring some flowersC、learn French very well         D、know Mr. Dupond very well "
9101_3,"阅读短文回答问题Message One:Dear classmates,As I'm sure you know by now, our new teacher, Mr. Dupond, is coming to teach us French this month. We're very excited because he is a strict but good teacher. To show our love, let’s have a welcome party for him next Friday, the 15th.Can you come to the party? If so, can you help with any of these things? Please tell me by this Friday.①Buy food and drinks.②Think of games to play③Prepare things we need for the games: balloons, flowers, CDs and so onI look forward to hearing from you all.Message Two:Hi Jeff.What a great idea! I really like Mr. Dupond a lot. I hear that he is good at teaching and making friendsWith his students. I can help to buy some food and drinks. I can also help to bring Mr. Dupond to the party. I already have a great idea about what to say to him.Chen Jing###Which of the following is TRUE###A、Chen Jing would like to go to the party.  B、Chen Jing was too busy to go to the party.C、Chen Jing didn't get Jeff's invitation.   D、Chen Jing didn't want to go to the party. "
9101_4,"阅读短文回答问题Message One:Dear classmates,As I'm sure you know by now, our new teacher, Mr. Dupond, is coming to teach us French this month. We're very excited because he is a strict but good teacher. To show our love, let’s have a welcome party for him next Friday, the 15th.Can you come to the party? If so, can you help with any of these things? Please tell me by this Friday.①Buy food and drinks.②Think of games to play③Prepare things we need for the games: balloons, flowers, CDs and so onI look forward to hearing from you all.Message Two:Hi Jeff.What a great idea! I really like Mr. Dupond a lot. I hear that he is good at teaching and making friendsWith his students. I can help to buy some food and drinks. I can also help to bring Mr. Dupond to the party. I already have a great idea about what to say to him.Chen Jing###What does Chen Jing think of Mr. Dupond###A、He can't be a good teacher.       B、He is a good teacher.C、He is a good student.          D、He isn't a good student. "
9101_5,"阅读短文回答问题Message One:Dear classmates,As I'm sure you know by now, our new teacher, Mr. Dupond, is coming to teach us French this month. We're very excited because he is a strict but good teacher. To show our love, let’s have a welcome party for him next Friday, the 15th.Can you come to the party? If so, can you help with any of these things? Please tell me by this Friday.①Buy food and drinks.②Think of games to play③Prepare things we need for the games: balloons, flowers, CDs and so onI look forward to hearing from you all.Message Two:Hi Jeff.What a great idea! I really like Mr. Dupond a lot. I hear that he is good at teaching and making friendsWith his students. I can help to buy some food and drinks. I can also help to bring Mr. Dupond to the party. I already have a great idea about what to say to him.Chen Jing###What is the main idea about Message One###A、To make an invitation   B、To turn down an invitation C、To accept the invitation  D、To ask more Students to bring gifts "
9101_6,"阅读短文回答问题Message One:Dear classmates,As I'm sure you know by now, our new teacher, Mr. Dupond, is coming to teach us French this month. We're very excited because he is a strict but good teacher. To show our love, let’s have a welcome party for him next Friday, the 15th.Can you come to the party? If so, can you help with any of these things? Please tell me by this Friday.①Buy food and drinks.②Think of games to play③Prepare things we need for the games: balloons, flowers, CDs and so onI look forward to hearing from you all.Message Two:Hi Jeff.What a great idea! I really like Mr. Dupond a lot. I hear that he is good at teaching and making friendsWith his students. I can help to buy some food and drinks. I can also help to bring Mr. Dupond to the party. I already have a great idea about what to say to him.Chen Jing###What is the main purpose about Message Two###A、To make an invitation   B、To turn down an invitation C、To accept the invitation  D、To ask more Students to bring gifts "
9102_0,"阅读下面短文根据短文意思选择最佳答案或回答问题      As usual, Betty was sitting alone during break. As she sat, she heard a quiet “meow” nearby and found a little cat with a band showing the name “Lucky”.She picked up the cat and went to ask her teacher ifshecould help the cat find his home as a class project.“Are you willing to organize this project?” Mrs. Smith asked. She had tried for months to get Betty to speak up in class, but Betty had stayed quiet. Maybe this was her chance to shine!Betty thought for a moment and then said, “Okay, we need to put up signs around the neighborhood and call the local newspaper.”Tony also suggested that they call the Animals’ Home.Soon students were busy drawing posters. Two students were making phone calls. Mrs. Smith was surprised to find Betty was so confident and really showed an ability to lead.Betty, however, was not thinking about being a leader or being shy. Her mind was on finding this lost cat´s home.The two students making phone calls came back and announced, “The Animals’ Home said that a family reported a lost cat named Lucky!Theysaid they´d call the family to come and get him!” The class cheered.Ten minutes later, a woman showed up and said with joy, “Thank you for returning Lucky! He was very ‘lucky’ to have been found by such a caring group of students!”The class celebrated their success. Mrs. Smith celebrated, too. Betty sat comfortably with her classmates for the first time, laughing and joking. Mrs. Smith believed it was indeed luckythat Betty had found the catlucky for both of them!###What does the underlined word“she”refer to###A、Betty.B、Betty´s teacher.C、The cat.D、Betty’s classmate. "
9102_1,"阅读下面短文根据短文意思选择最佳答案或回答问题      As usual, Betty was sitting alone during break. As she sat, she heard a quiet “meow” nearby and found a little cat with a band showing the name “Lucky”.She picked up the cat and went to ask her teacher ifshecould help the cat find his home as a class project.“Are you willing to organize this project?” Mrs. Smith asked. She had tried for months to get Betty to speak up in class, but Betty had stayed quiet. Maybe this was her chance to shine!Betty thought for a moment and then said, “Okay, we need to put up signs around the neighborhood and call the local newspaper.”Tony also suggested that they call the Animals’ Home.Soon students were busy drawing posters. Two students were making phone calls. Mrs. Smith was surprised to find Betty was so confident and really showed an ability to lead.Betty, however, was not thinking about being a leader or being shy. Her mind was on finding this lost cat´s home.The two students making phone calls came back and announced, “The Animals’ Home said that a family reported a lost cat named Lucky!Theysaid they´d call the family to come and get him!” The class cheered.Ten minutes later, a woman showed up and said with joy, “Thank you for returning Lucky! He was very ‘lucky’ to have been found by such a caring group of students!”The class celebrated their success. Mrs. Smith celebrated, too. Betty sat comfortably with her classmates for the first time, laughing and joking. Mrs. Smith believed it was indeed luckythat Betty had found the catlucky for both of them!###picked up a little cat during break###A、TonyB、LuckyC、BettyD、Smith "
9102_2,"阅读下面短文根据短文意思选择最佳答案或回答问题      As usual, Betty was sitting alone during break. As she sat, she heard a quiet “meow” nearby and found a little cat with a band showing the name “Lucky”.She picked up the cat and went to ask her teacher ifshecould help the cat find his home as a class project.“Are you willing to organize this project?” Mrs. Smith asked. She had tried for months to get Betty to speak up in class, but Betty had stayed quiet. Maybe this was her chance to shine!Betty thought for a moment and then said, “Okay, we need to put up signs around the neighborhood and call the local newspaper.”Tony also suggested that they call the Animals’ Home.Soon students were busy drawing posters. Two students were making phone calls. Mrs. Smith was surprised to find Betty was so confident and really showed an ability to lead.Betty, however, was not thinking about being a leader or being shy. Her mind was on finding this lost cat´s home.The two students making phone calls came back and announced, “The Animals’ Home said that a family reported a lost cat named Lucky!Theysaid they´d call the family to come and get him!” The class cheered.Ten minutes later, a woman showed up and said with joy, “Thank you for returning Lucky! He was very ‘lucky’ to have been found by such a caring group of students!”The class celebrated their success. Mrs. Smith celebrated, too. Betty sat comfortably with her classmates for the first time, laughing and joking. Mrs. Smith believed it was indeed luckythat Betty had found the catlucky for both of them!###Betty was asked to organize the project because ###A、Mrs. Smith wanted to help her changeB、Mrs. Smith decided to look after herC、she loved little animals like catsD、shevolunteeredto be the leader "
