序号,题干
1756,（2018年，海淀七上期末）下列等式变形正确的是（    ）
1759,若a＜b＜0，则下列不等式关系中，不能成立的是（　　）
1760,（2018福建中考b卷）投掷两枚质地均匀的骰子，骰子的六个面上分别刻有1到6的点数，则下列事件为随机事件的是（　　）
1764,2位男生和3位女生共5位同学站成一排，若男生甲不站两端，3位女生中有且只有两位女生相邻，则不同排法的种数是（　　）
1769,（2018年，朝阳七下期末）下列命题中，真命题是（    ）
1770,（2018年，海淀八上期末）低碳环保理念深入人心，共享单车已成为出行新方式．下列共享单车图标，是轴对称图形的是（    ）
1777,下列哪个条件可以说明△ABC为等边三角形（  ）．
1778,设全集U＝{1，2，3，4，5，6}，集合A＝{1，2，4}，B＝{1，3，5}，则下列Venn图中的阴影部分表示集合{3，5}的是(　　)
1780,若a＝（1，λ，2），b＝（2，−1，1），a与b的夹角为60°，则λ的值为（ ）。
1783,（2018年，东城八下期末）下列四组线段中，能作为直角三角形三条边的是（    ）
1784,已知下列问题：①从甲、乙、丙三名同学中选出两名分别参加数学和物理学习小组；②从甲、乙、丙三名同学中选出两名同学参加一项活动；③从a，b，c，d四个字母中取出2个字母；④从1，2，3，4四个数字中取出2个数字组成一个两位数．其中是排列问题的有（　　）
1793,（2018年，东城九下二模）在平面直角坐标系xOy中，若点P（3，4）在⊙O内，则⊙O的半径r的取值范围是（    ）
1795,下列哪个条件可以说明△ABC为等边三角形（  ）．
1806,"（201901通州期末高一）已知集合A={-1,2},B={x|x<1}，那么集合A∩B等于"
1808,（2018年，丰台八下期末）下面是入围2022年北京冬奥会会徽设计评选的四副作品的主体图案，其中可以抽象为中心对称图形的是（    ）
1813,自来水公司调查了若干用户的月用水量x（单位：吨），按月用水量将用户分成A、B、C、D、E五组进行统计，并制作了如图所示的扇形统计图．已知除B组以外，参与调查的用户共64户，则所有参与调查的用户中月用水量在6吨以下的共有 （ ）. __img5544.jpg
1817,已知a，b，c，d都是实数，则“a＝b且c＝d”是“a＋c＝b＋d”的( )．
1821,sin330°等于
1822,从正方体六个面的对角线中任取两条作为一对，其中所成的角为60°的共有（　　）
1824,"若2n个学生排成一排的排法数为x,这2n个学生排成前后两排，每排各n个学生的排法数为y，则x，y的关系为（  ）"
1828,21个人按照以下规则表演节目：他们围坐一圈，按顺序从1到3循环报数，报数字“3”的人出来表演节目，并且表演过的人不再参加报数，那么在仅剩两个人没有表演过节目的时候，共报数的次数为（　　）
1829,关于可能性的描述，下面说法正确的是（  ）。
1834,一物体受到相互垂直的两个力f1、f2的作用，两力大小都为5√3N，则两个力的合力的大小为( )
1837,（2016九下广东中考）据广东省旅游局统计显示，2016年4月全省旅游住宿设施接待过夜游客约27700000人，将27700000用科学记数法表示为
1838,方程x2+（m﹣2）x+5﹣m=0的两根都大于2，则m的取值范围是（　　）
1839,“完成一件事需要分成n个步骤，各个步骤分别有m1，m2，…，mn种方法，则完成这件事有多少种不同的方法？”，要解决上述问题，应用的原理是（　　）
1840,某班学生分组，如果每组4人，可以分6组。如果每组3人，可以分（  ）组。
1842,（2019年7月通州高一期末）
1843,"过点(-1,3)且平行于直线x-2y+3=0的直线方程为（）"
1846,（2018年，东城七上期末）在墙壁上固定一根横放的木条，则至少需要钉子的枚数是（    ）
1848,用数字1，2，3，4，5组成的无重复数字的四位偶数的个数为           （  ）
1849,为了解游客对房山石花洞、房山十渡风景名胜区、房山周口店猿人遗址和房山云居寺四个旅游景区的满意率情况，某班实践活动小组的同学给出了以下几种调查方案：方案一：在房山云居寺随机调查800名游客；方案二：在多家旅游公司随机调查800名导游；方案三：在四个旅游景区各随机调查800名游客；方案四：在房山十渡风景名胜区随机调查800名游客.在这四种调查方案中，最合理的是
1853,（2018福建中考b卷）在实数|﹣3|，﹣2，0，π中，最小的数是（　　）
1854,（2019福州八下期末）用配方法解方程x2﹣2x﹣4＝0，配方正确的是
1856,（2018年，朝阳七上期末）中美两国企业家对话会于2017年11月9日在北京人民大会堂举行，在两国元首的正确引领下，两国企业创造了奇迹，经贸合作的金额达到253500000000美元，这既创造了中美经贸合作的新纪录，也刷新了世界经贸合作史的纪录．将253500000000用科学记数法表示应为（    ）
1858,一个水平放置的平面图形的斜二测直观图是一个底角为45°，腰长为1的等腰直角三角形，则这个平面图形的面积是（） 
1861,如果用配方法解方程x2－2x－1＝0，那么原方程应变形为
1862,（2018年，东城八上期末）下列式子为最简二次根式的是（    ）
1864,（2016九下广东中考）某公司的拓展部有五个员工，他们每月的工资分别是3000元，4000元，5000元，7000元和10000元，那么他们工资的中位数是
1865,（2018福州七上期中）下列选项中，两数相等的是　　
1866,用二项式定理计算9.985，精确到1的近似值为（　　）
1867,（2018年，东城七上期末）在下面的四个有理数中，最小的是（    ）
1868,空间五点中，无三点共线．且无四点共面，则这五点可以确定平面的个数是（　　）
1870,关于方程x²＋2x＋3=0下列说法正确的是(   ).
1879,已知集合M={0，1}，则满足M∪N={0，1，2}的集合N的个数是（　　）
1882,已知a>0，函数f(x)＝ax²＋bx＋c，若x0满足关于x的方程2ax＋b＝0，则下列选项的命题中为假命题的是()
1883,（2018年，朝阳八上期末）下列各式中，从左到右的变形属于因式分解的是（    ）
1885,一物体受到相互垂直的两个力f1、f2的作用，两力大小都为5√3N，则两个力的合力的大小为( )
1886,"已知直线经过点A(0,4)和点B(1,2)，则直线AB的斜率为（）"
1888,（2019年1月通州八上期末）“瓦当”是中国古代用以装饰美化建筑物檐头的建筑附件，其图案各式各样，属于中国特有的文化艺术遗产．下列“瓦当”的图案中，是轴对称图形的为
1891,（2018福州七下期末）要调查下面问题，适合做全面调查的是（ ）
1894,设I={1，2，3，4}，A与B是I的子集，若A∩B={1，2}，则称（A，B）为一个理想配集．若将（A，B）与（B，A）看成不同的“理想配集”，则符合此条件的“理想配集”的个数是（　　）
1897,下列命题正确的是（   ）
1899,（2018年，海淀八下期末）以下列长度的三条线段为边，能组成直角三角形的是（    ）
1902,"（2018年，海淀七上期末）已知点A,B,C在同一条直线上，若线段AB=3，BC=2，AC=1，则下列判断正确的是（    ）"
1903,已知平面α过点A（1，−1，2），法向量n＝（2，−1，2），则下列点在平面内α的是（  ）。
1907,"如图，ABCD的对角线AC与BD相交于点O，AB⊥AC.若AB＝4,AC＝6，则BD的长为"
1908,“完成一件事有n类不同的方法，每类方法分别有m1，m2，…，mn种方法，则完成这件事有多少种不同的方法？”，要解决上述问题，应用的原理是（　　）
1910,（2019年7月通州八下期末）
1914,（2018年，东城九下二模）在圆锥、圆柱、球、正方体这四个几何体中，主视图不可能是多边形的是（    ）
1915,"（2018年，海淀七上期末）2017年10月18日上午9时，中国共产党第十九次全国代表大会在京开幕．“十九大”最受新闻网站关注.据统计，关键词“十九大”在1.3万个网站中产生数据174,000条.将174,000用科学记数法表示应为（    ）"
1917,若a，b∈R，ab≠0，且a+b=1，则下列不等式中，恒成立的是（　　）
1918,三位男同学两位女同学站成一排，女同学不站两端的排法总数为（　　）
1920,点A，B，C和原点O在数轴上，点A，B，C对应的有理数为a，b，c．若ab＜0，a+b＞0，a+b+c＜0，那么以下符合题意的是（   ）
1921,（201907通州七下期末）已知a>b，则在下列选项中，正确的是
1922,5位大学毕业生分配到3家单位，每家单位至少录用1人，则不同的分配方法共有（ ）.
1923,甲组有5名男同学，3名女同学；乙组有6名男同学、2名女同学。若从甲、乙两组中各选出2名同学，则选出的4人中恰有1名女同学的不同选法共有（ ）.
1927,右图是某几何体的三视图，那么这个几何体是（ ）.__img5763.jpg
1932,（2018年，西城八上期末）下列各式中，能用完全平方公式进行因式分解的是（  ）
1938,已知集合A={5}，B={1，2}，C={1，3，4}，从这三个集合中各取一个元素构成空间直角坐标系上的坐标，则确定的不同点的个数为（　　）
1942,（2018年，丰台九下二模）为丰富国民精神文化生活，提升文化素养，全国各地陆续开展全民阅读活动. 现在的图书馆不单是人们学习知识的地方，更是成为人们休闲的好去处. 下列图书馆标志的图形中不是轴对称图形的是（    ）
1944,已知集合M={（x，y）|y=f（x）}，若对于任意实数对（x1，y1）∈M，存在（x2，y2）∈M，使x1x2+y1y2=0成立，则称集合M具有∟性，给出下列四个集合①M={（x，y）|y=x3﹣2x2+3}；   ②M={（x，y）|y=log2（2﹣x）}；③M={（x，y）|y=2﹣2x}     ④M={（x，y）|y=1﹣sin  x}；其中具有∟性的集合的个数是（　　）
1947,（2018福建中考a卷）我国古代数学著作《增删算法统宗》记载”绳索量竿”问题：“一条竿子一条索，索比竿子长一托．折回索子却量竿，却比竿子短一托．“其大意为：现有一根竿和一条绳索，用绳索去量竿，绳索比竿长5尺；如果将绳索对半折后再去量竿，就比竿短5尺．设绳索长x尺，竿长y尺，则符合题意的方程组是（　　）
1950,在解决“125×6+125×3+125”的过程中，能使运算变得简便的是（  ）。
1957,将标号为1，2，3，4，5，6的6张卡片放入3个不同的信封中．若每个信封放2张，其中标号为1，2的卡片放入同一信封，则不同的方法共有（   ）
1960,"一排9个座位坐了3个三口之家,若每家人坐在一起,则不同的坐法种数为  （　　）"
1961,下列命题中正确的是（ ）
1963,下列说法正确的是（  ）
1964,（2018年，海淀七上期末）下列结论正确的是（    ）
1969,平行四边形ABCD中，AC与BD交于点O，E是线段OD的中点，AE的延长线与CD
1972,设集合A={﹣1，0，2}，集合B={﹣x|x∈A，且2﹣x∉A}，则B=（　　）
1975,（2018年，西城七上期末）下列运算中，正确的是（  ）
1977,已知m，n是两条直线，α，β是两个平面，给出以下命题：①m，n相交且都在平面α，β外，m∥α，m∥β，n∥α，n∥β，则α∥β；②若m∥α，m∥β，则α∥β；③若m∥α，n∥β，m∥n，则α∥β。其中正确命题的个数是（  ）
1979,（2018年，西城八上期末）如图，在△ABC中，BC的垂直平分线分别交AC，BC于点D，E．若△ABC的周长为22，BE=4，则△ABD的周长为（  ）
1985,"两人进行乒乓球比赛,先赢三局者获胜,决出胜负为止,则所有可能出现的情形(各人输赢局次的不同视为不同情形)共有  （　　）"
1987,|a|2＝1，|b|2＝2，(a−b)a＝0，则a与b的夹角为（  ）。
1989,一组数据：2，6，4，7，2的中位数是（ ）.
1990,如图，点A，B，C，D，E为⊙O的五等分点，动点M从圆心O出发，沿线段OA→劣弧AC→线段CO的路线做匀速运动，设运动的时间为t，∠DME的度数为y，则下列图象中表示y与t 之间函数关系最恰当的是（ ）. __img5941.jpg
1991,"过点P（2,3）且与圆x²+y²=4相切的直线方程是（  ）"
1992,某单位有15名成员，其中男性10人，女性5人，现需要从中选出6名成员组成考察团外出参观学习，如果按性别分层，并在各层按比例随机抽样，则此考察团的组成方法种数是（　　）
1993,（2018年，海淀七上期末）－5的相反数是（    ）
1997,"已知两条异面直线a,b上分别有5个点和8个点，则这13个点可以确定不同的平面个数为（    ）"
1999,（2018年，东城九上期末）下列图形中，是中心对称图形但不是轴对称图形的是（    ）
2001,在等差数列{an}中，a2＝2，a3＝4，则a10＝(　　)
2002,（2019朝阳二模）2019年4月25-27日，第二届“一带一路”国际合作高峰论坛在北京举行，自“一带一路”倡议提出以来，五年之间，北京市对外贸易总额累计约30000亿美元，年均增速1.5%．将30000用科学记数法表示应为
2003,【教师题库】分别过一个三角形的3个顶点作对边的平行线，这些平行线两两相交，则构成的平行四边形的个数是
2004,"【教师题库】已知线段AB=3cm,点C在线段AB所在的直线上，且BC=1cm,则线段AC的长度为（ ）cm"
2005,【教师题库】已知，∠1与∠2互余，且∠1=30°，则∠2是（   ）.
2006,【教师题库】正十边形的每个外角等于(　　)
2007,"（2019.福州三中期中）已知函数在\(\left({-\infty,+\infty}\right)\)上是增函数，\(a,b\inR\)，且\(a+b>0\)，则有（ ）‎A．\(f(a)+f(b)>-f(a)-f(b)\)  B．\(f(a)+f(b)<-f(a)-f(b)\)  "
2008,（2018年，西城七下期末）如果点P（5，y）在第四象限，那么y的取值范围是（   ）
2009,（2019汕尾八年级前测）下列调查中，适合用普查方法的是（  ）
2012,【教师题库】到三角形三个顶点的距离相等的点是三角形(　　)的交点．
2015,已知命题p:∀x∈R，2x<3x;命题q:∃x∈R，x3=1-x2，则下列命题中为真命题的是(　　)
2016,某小区物业准备对小区内100个灭火器的摆放情况进行普查，构成总体的个体是（ ）。   
2017,"若\(\frac{{\sin\alpha+\cos\alpha}}{{\sin\alpha-\cos\alpha}}=\frac{1}{2}\),则tan2α=  （　　） "
2019,下列哪项不属于获取数据的基本途径（ ）
2020,下列说法中，不正确的是(　　)
2022,【教师题库】若x2＋ax＋9＝(x＋3)2，则a的值为(　　)
2023,设{an}是等差数列，下列结论中正确的是(　　)
2024,（2019汕尾九年级前测）很多运动员为了参加北京—张家口冬季奥运会，进行了积极的训练．下表记录了国家队4名队员在500米短道速滑训练成绩的平均数\(\barx\)与方差\({s^2}\)：  队员甲队员乙队员丙队员丁平均数\(\barx\)（秒）45464546方差\({s^2}\)（秒2）1.51.53.54.5   根据表中数据，要从中选择一名成绩好又发挥稳定的运动员参加比赛，应该选择
2025,（2019福州三中期中）下列四个单项式中，能与ab2合并同类项的是
2026,为了获取2017年城镇居民人均主要食品消费量，你认为采用哪种方法比较合理？（ ）
2027,【教师题库】下列各组数相等的是（）
2029,"先后抛掷两颗骰子，设出现的点数之和是12,11,10的概率依次是P1,P2,P3，则（） "
2030,若a<b<c，则函数f(x)＝(x－a)(x－b)＋(x－b)(x－c)＋(x－c)(x－a)的两个零点分别位于区间(　　)
2031,（2020汕尾七年级第一学期期末测试）点\(A\)，\(B\)，\(C\)和原点\(O\)在数轴上，点\(A\)，\(B\)，\(C\)对应的有理数为\(a\)，\(b\)，\(c\).若\(ab<0\)，\(a+b>0\)，\(a+b+c<0\)，那么以下符合题意的是（  ）.
2032,（2019福州三中期中）下面对单项式-m2描述正确的是
2035,【教师题库】下列算式正确的是(　　)
2036,已知等比数列{an}中，a1＋a2＋a3＝40，a4＋a5＋a6＝20，则前9项之和等于(　　)
2037,"下列各组事件中,不是互斥事件的是               (  )"
2038,（2019朝阳二模）如果\(x-3y=0\)，那么代数式\((\frac{{{x^2}+{y^2}}}{y}-2x)\div(x-y)\)的值为
2039,【教师题库】计算3×(－1/3）＋4÷(－2)的结果是(　　)
2040,3的相反数是（　　）
2041,"在区间[0,10]中任意取一个数，则它与4之和大于10的概率是（  ）"
2043,【教师题库】等腰三角形的一腰长为3a，底角为15°，则另一腰上的高为（　　）
2044,【教师题库】下列说法正确的是（   ）
2045,一个水平放置的平面图形的斜二测直观图是一个底角为45°，腰长为1的等腰直角三角形，则这个平面图形的面积是（） 
2046,"已知\(a={2^{0.2}},\;b={0.2^2},\;c={\log_2}0.2\)，则"
2047,等差数列{an}中，a1＋a5＝10，a4＝7，则数列{an}中的公差为(　　)
2048,调查某校学生月消费额时，统计总体是（）
2050,【教师题库】(－a＋1)(a＋1)(a2＋1)等于
2051,（2019汕尾九年级前测）很多运动员为了参加北京—张家口冬季奥运会，进行了积极的训练．下表记录了国家队4名队员在500米短道速滑训练成绩的平均数\(\barx\)与方差\({s^2}\)：  队员甲队员乙队员丙队员丁平均数\(\barx\)（秒）45464546方差\({s^2}\)（秒2）1.51.53.54.5   根据表中数据，要从中选择一名成绩好又发挥稳定的运动员参加比赛，应该选择
2052,“\(\alpha=\frac{\pi}{6}\)”是“\(\sin\alpha=\frac{1}{2}\)”的　　　
2053,若\(P(X\geqslant{x_1})=1-\alpha\)，\(P(X\leqslant{x_2})=1-\beta\)，其中x1＜x2，则\(P({x_1}\leqslantX\leqslant{x_2})=\)（　　）
2054,（2018九下广东中考）四个实数0、1/3、﹣3.14、2中，最小的数是(　　)
2055,"已知点\(A(1,\;2)\,,\;\;B(-3,\;0)\)，则线段\(AB\)的中点坐标为"
2057,【教师题库】△ABC中，∠C=90°，AB=13，AC=12，以B为圆心，5为半径的圆与直线AC的位置关系是（ ）
2058,以下说法正确的是（ ）
2059,简单随机抽样、系统抽样和分层抽样之间的共同点是(　　)
2060,设Sn是等差数列{an}的前n项和，若a1=2，a5=3a3，则S9=（　　）
2061,将函数y＝cosx的图象上各点的横坐标伸长到原来的2倍(纵坐标不变)，再向右平移π/4个单位，所得函数图象的一条对称轴方程是(　　)
2063,下列几何体中，是圆锥的为
2065,（2020汕尾八年级第一学期期末）500米口径球面射电望远镜，简称FAST，是世界上最大的单口径球面射电望远镜，被誉为“中国天眼”. 2018年4月18日， FAST望远镜首次发现的毫秒脉冲星得到国际认证，新发现的脉冲星自转周期为\(0.00519\)秒，是至今发现的射电流量最弱的高能毫秒脉冲星之一.将\(0.00519\)用科学记数法表示应为（ ）.
2066,在下列区间中，函数\(f\left(x\right)={e^x}+4x-3\)的零点所在的区间为（  ）
2067,在数列{an}中，an＋1＝an＋a(n∈N*，a为常数)，若平面上的三个不共线的非零向量\(\mathop{OA}\limits^\to\)，\(\mathop{OB}\limits^\to\)，\(\mathop{OC}\limits^\to\)满足\(\mathop{OC}\limits^\to=\mathop{{a_1}OA}\limits^\to+{a_{2010}}\mathop{OB}\limits^\to\)，三点A、B、C共线且该直线不过O点，则S2010等于(　　)
2068,（2019汕尾八年级前测）在以下三个命题中，正确的命题有                          （  ）①\(a\)，\(b\)，\(c\)是直线，若\(a\)与\(b\)相交，\(b\)与\(c\)相交，则\(a\)与\(c\)相交②\(a\)，\(b\)，\(c\)是直线，若\(a\parallelb\)，\(b\parallelc\)，则\(a\parallelc\)③若\(\angle\alpha\)与\(\angle\beta\)互补，\(\angle\beta\)与\(\angle\gamma\)互补，则\(\angle\alpha\)与\(\angle\gamma\)互补
2069,设{an}是首项为正数的等比数列，公比为q，则“q＜0”是“对任意的正整数n，a2n－1＋a2n＜0”的(　　)
2071,"总体由编号为01,02，...，19,20的20个个体组成，利用下面的随机数表选取7个个体，选取方法是从随机数表第1行的第3列和第4列数字开始由左向右依次选取两个数字，则选出来的第6个个体的编号为（ ）7816 6572 0802 6314 0702 4369 9728 01983204 9234 4935 8200 3623 4869 6938 7481"
2072,甲乙丙射击命中目标的概率分别为1/2、1/4、1/12，现在三人射击一个目标各一次，目标被击中中的概率是（ ）
2073,下列各选项中，线段的长度能组成直角三角形的是           （   ）
2075,在现实生活中使用最为广泛的非全面调查方式是（）
2076,2019年2月，美国宇航局（NASA）的卫星监测数据显示地球正在变绿.出人意料的是，尽管中国的土地面积只占全球的7%，但过去20年间地球四分之一的新增植被是由中国贡献的，面积约为4920000km2.将4920000用科学记数法表示应为（  ）.
2077,下面抽样方法是简单随机抽样的是（ ）
2078,【教师题库】下列多项式中，能用平方差公式分解因式的是(　　)
2079,对一家医疗服务中心做民意调查，你认为采用哪种方法比较合理？（）
2081,(2019年10月汕尾七年级前测）在下列手机屏幕解锁图案中，为轴对称图形的是（   ）.
2082,一艘轮船只有在涨潮的时候才能驶入港口，已知该港口每天涨潮的时间为早晨5:00至7:00和下午5:00至6:00，则该船在一昼夜内可以进港的概率是（  ）
2084,【教师题库】若一个三角形的两边长分别是3和4，则第三边的长可能是(　　) 
2085,“0≤m≤1”是“函数f(x)=cos x+m-1有零点”的  (　　)
2086,若数列{an}满足：\({a_{n+1}}=1-\frac{1}{{{a_n}}}\)且a1＝2，则a2011等于(　　)
2087,下列命题中，是真命题且是全称命题的是(　　)
2089,（2分）（2019•北京）在数轴上，点A，B在原点O的两侧，分别表示数a，2，将点A向右平移1个单位长度，得到点C，若CO＝BO，则a的值为（　　）
2092,生活垃圾处理是关系民生的基础性公益事业，加强生活垃圾管理，维护公共环境和节约资源是全社会公共的责任.2020年5月1日起北京将全面推行生活垃圾强制分类.下列四个垃圾分类标识中的图形是轴对称图形的是
2093,两个实习生每人加工一个零件．加工为一等品的概率分别为2/3和3/4，两个零件是否加工为一等品相互独立，则这两个零件中恰有一个一等品的概率为
2094,（2019汕尾九年级前测）如图，在菱形ABCD中，对角线AC、BD交于点O．若∠ABC=60°，OA=1，则CD的长为（ ）
2095,【教师题库】一种书包经两次降价10%，现在售价a元，则原售价为（    ）元
2096,将表的分针拨快10分钟，则分针旋转过程中形成的角的弧度数是(　　)
2101,【教师题库】若(a－1)x2＋bx＋c＝0是关于x的一元二次方程，则(　　)
2102,【教师题库】某玉米种子的价格为a元/千克，如果一次性购买2千克以上的种子，超过2千克部分的种子价格打8折．某科技人员对付款金额和购买量这两个变量的对应关系绘制出了函数图象．甲农户购买3千克的该玉米种子，则需付款（   ）元.__img6066.bmp                      
2106,【教师题库】平行四边形的周长为25cm，对边的距离分别为2cm、3cm，则这个平行四边形的面积为
2107,某射手一次射击中，击中10环、9环、8环的概率分别是0.24，0.28，0.19，则这射手在一次射击中至多8环的概率是（　　）
2108,某工厂生产A、B、C三种不同型号的产品，产品的数量之比依次为\(3:4:7\)现在用分层抽样的方法抽出容量为n的样本，样本中A号产品有15件，那么样本容量n为(　　)
2109,【教师题库】下列计算正确的是(　　)
2110,已知数列{an}中，an＝n2－kn(n∈N*)，且{an}单调递增，则k的取值范围是(　　)
2111,四个实数0、1/3、﹣3.14、2中，最小的数是(　　)
2112,（2分）（2019•北京）4月24日是中国航天日.1970年的这一天，我国自行设计、制造的第一颗人造地球卫星“东方红一号”成功发射，标志着中国从此进入了太空时代，它的运行轨道，距地球最近点439000米，将439000用科学记数法表示应为（　　）
2113,【教师题库】下列代数式中，不是整式的是（   ）
2115,500米口径球面射电望远镜，简称FAST，是世界上最大的单口径球面射电望远镜，被誉为“中国天眼”. 2018年4月18日， FAST望远镜首次发现的毫秒脉冲星得到国际认证，新发现的脉冲星自转周期为\(0.00519\)秒，是至今发现的射电流量最弱的高能毫秒脉冲星之一.将\(0.00519\)用科学记数法表示应为（ ）.
2117,【教师题库】下列计算正确的是（   ）
2118,（2018年，西城七下期末）为了解游客对恭王府、北京大观园、北京动物园和景山公园四个旅游景区的满意率情况，某班实践活动小组的同学给出了以下几种调查方案：方案一：在多家旅游公司随机调查400名导游；方案二：在恭王府景区随机调查400名游客；方案三：在北京动物园景区随机调查400名游客； 方案四：在上述四个景区各随机调查400名游客.在这四种调查方案中，最合理的是（   ）
2120,"【教师题库】若点A(a,5)与B(3,b)关于原点对称,则b-a等于(　　) "
2121,【教师题库】一个三角形的三内角的度数的比为1∶1∶2，则此三角形是(　　)
2127,某班5名同学的某门课的成绩分别为60、70、75、80、85，这5个数是（）
2128,若两总体平均水平不同，在比较它们的离散程度时，应采用（）
2130,已知命题\(p:|x|\geqslant0\)；命题\(q:\forallx\in{\mathbf{R}}\)，\({x^2}-x-1=0\)，则下列命题为真命题的是
2131,【教师题库】不等式组\(\left\{\begin{gathered}{2x-1\geq5}\\{8-4x<0}\end{gathered}\right.\)  的解集在数轴上表示为 (　)
2133,来成都旅游的外地游客中，若甲、乙、丙三人选择去武侯祠游览的概率均为\(\frac{3}{5}\)，且他们的选择互不影响，则这三人中至多有两人选择去武侯祠游览的概率为(　　)
2134,【教师题库】下列语句：①不带“﹣”号的数都是正数；②如果a是正数，那么﹣a一定是负数；③射线AB和射线BA是同一条射线；④直线MN和直线NM是同一条直线，其中说法正确的有（　　）
2135,"抛掷一颗骰子一次,记A表示事件:出现偶数点，B表示事件：出现3点或6点，则事件A与B的关系。（ ）"
2136,某校期末考试后，为了分析该校高一年级1000名学生的学习成绩，从中随机抽取了100名学生的成绩单，下面说法正确的是（）
2137,【教师题库】解方程\(\frac{2x-1}{2}-\frac{1+x}{4}=-1\)时，去分母后得到的方程是(　 　)
2138,【教师题库】下列因式分解正确的是(　　)
2139,【教师题库】若关于x，y的方程组\(\left\{\begin{gathered}{x+2y=k}\\{2x+y=2}\end{gathered}\right.\)的解互为相反数，则k=（　　）
2140,【教师题库】一个多边形的内角和为1800°，则这个多边形的边数为(　　)
2141,投掷一枚均匀硬币和一枚均匀骰子各一次，记“硬币正面向上”为事件，“骰于向上的点数是3”为事件，则事件，中至少有一件发生的概率是
2142,【教师题库】下列说法错误的是（   ） 
2144,有四个式子：\(0\cdot\overrightarrowa=\overrightarrow0;0\cdot\overrightarrowa=0;\overrightarrow0-\overrightarrow{AB}=\overrightarrow{BA};|\overrightarrowa\cdot\overrightarrowb|=|\overrightarrowa||\overrightarrow{b|}\)其中正确的个数为（）
2145,设数列{an}是由正数组成的等比数列，Sn为其前n项和，已知a2·a4＝1，S3＝7，则S5＝(　　)
2147,【教师题库】已知∠A=x°，∠A的补角为（   ）度.
2149,（2019汕尾九年级前测）如图所示，在矩形纸片ABCD中，E，G为AB边上两点，且AE=EG=GB；F，H为CD边上两点，且DF=FH=HC．沿虚线EF折叠，使点A落在点G上，点D落在点H上；然后再沿虚线GH折叠，使B落在点E上，点C落在点F上．叠完后，剪一个直径在EF上的半圆，再展开，则展开后的图形为（  ）
2151,  从编号为1~50的50枚最新研制的某种型号的导弹中随机抽取5枚来进行发射实验，若采用每部分选取的号码间隔一样的系统抽样方法，则所选取5枚导弹的编号可能是（）
2153,设等差数列{an}的前n项和为Sn.若a1＝－11，a4＋a6＝－6，则当Sn取最小值时，n等于(　　)
2154,（2019福州三中期中）某年，下列国家的商品进出口总额比上年的变化情况是：中国增长7.5%，德国增长1.3%，法国增长-2.4%，英国增长-3.5%，其中增长最少的国家是
2155,“\(x\leqslant2或x\geqslant5\)”是“\({x^2}-7x+10>0\)”的(　　)
2156,盒中装有6件产品，其中4件一等品，2件二等品，从中不放回的取两次，每次取一件，已知第二次取得一等品，则第一次取得的是二等品的概率是（　　）
2157,如果分式\(\frac{1}{{x-2}}\)有意义，那么\(x\)的取值范围是
2158,【教师题库】下列各题中，所求的最简公分母错误的是（）。
2159,已知点A（2，a）为抛物线\({{\rm{y}}^2}{\rm{=}}4{\rm{x}}\) 图象上一点，则点A到焦点的距离等于
2160,【教师题库】方程2x＋a－4＝0的解是x＝－2，则a等于(　 　)
2162,（2019福州三中期中）\(\frac{1}{2}\)的倒数是
2164,【教师题库】一个多边形的内角和是外角和的2倍，这个多边形是(　　) 
2165,命题“∀x∈R，\(\sinx+\cosx\leqslant\sqrt2\)”的否定是(　　)
2166,【教师题库】已知单项式-2a2m+3b5与6a5bm-2n的和是单项式，则(m+n)2005=（    ）
2168,【教师题库】某商店选用每千克28元的甲种糖3千克，每千克20元的乙种糖2千克，每千克12元的丙种糖5千克，混合成杂拌糖后出售，则这种杂拌糖平均每千克售价是（）元
2170,【教师题库】下列各式中，是一元一次方程的个数为（　　）（1）﹣4﹣3=﹣7；（2）3x﹣5=2x+1；（3）2x+6；（4）x﹣y=v；（5）a+b＞3；（6）a2+a﹣6=0；（7）\(\frac{2}{x+3}=1-x\)
2171,圆心角为60°，半径为1的弧长为（　　）
2172,【教师题库】下列说法正确的是
2173,投掷一枚均匀硬币和一枚均匀骰子各一次，记“硬币正面向上”为事件A，“骰子向上的点数是3”为事件B，则事件A，B中至少有一件发生的概率是(　　)
2174,"已知命题\(p:\forallx>0,\frac{4}{x}+x\geqslant4\)；命题q：∃x0∈(0，+∞)，\({2^{{x_0}}}=\frac{1}{2}\)，则下列判断正确的是(　　)"
2175,"设\(\tan\alpha\)，\(\tan\beta\)是方程\(\mathopx\nolimits^2-\mathop{3x}\limits^{}+\mathop2\limits^{}=\mathop0\limits^{}\)的两个根,则\(\tan(\alpha+\beta)\)的值为"
2177,有3个兴趣小组，甲、乙两位同学各自参加其中一个小组，每位同学参加各个小组的可能性相同，则这两位同学参加同一个兴趣小组的概率为
2178,（2020汕尾七年级第一学期期末测试）\(-5\)的相反数是（  ）.              
2179,用抽签法进行抽样有以下几个步骤：①把号码写在形状、大小相同的号签上（号签可以用小球、卡片、纸条制作）；②将总体中的个体编号；③从这容器中逐个不放回地抽取号签，将取出号签所对应的个体作为样本；④将这些号签放在一个容器内并搅拌均匀；这些步骤的先后顺序应为（ ）
2180,【教师题库】计算18＋12÷(－6)的结果是(　　)
2182,【教师题库】关于x的方程 \(m{x}^{m-2}-m+3=0\)是一元一次方程，则该方程的解是
